Config,NX,NY,Points,Maxiter,Threads,TotalTime,InterpTime,MoverTime,Speedup,Efficiency
NX250_NY100_P900000,250,100,900000,10,1,0.076323,0.036669,0.039479,1.000000,1.000000
NX250_NY100_P900000,250,100,900000,10,2,0.039901,0.018837,0.020944,1.912822,0.956411
NX250_NY100_P900000,250,100,900000,10,4,0.022732,0.011210,0.011432,3.357511,0.839378
NX250_NY100_P900000,250,100,900000,10,8,0.019391,0.009357,0.009938,3.936034,0.492004
NX250_NY100_P900000,250,100,900000,10,16,0.023874,0.012043,0.010729,3.196868,0.199804
NX250_NY100_P5000000,250,100,5000000,10,1,0.396928,0.189495,0.207258,1.000000,1.000000
NX250_NY100_P5000000,250,100,5000000,10,2,0.221264,0.097689,0.123441,1.793912,0.896956
NX250_NY100_P5000000,250,100,5000000,10,4,0.175973,0.059198,0.116671,2.255623,0.563906
NX250_NY100_P5000000,250,100,5000000,10,8,0.177232,0.061147,0.115933,2.239599,0.279950
NX250_NY100_P5000000,250,100,5000000,10,16,0.185724,0.062283,0.121663,2.137189,0.133574
NX500_NY200_P3600000,500,200,3600000,10,1,0.307988,0.146604,0.160654,1.000000,1.000000
NX500_NY200_P3600000,500,200,3600000,10,2,0.166430,0.075126,0.090830,1.850557,0.925279
NX500_NY200_P3600000,500,200,3600000,10,4,0.126244,0.044978,0.080950,2.439617,0.609904
NX500_NY200_P3600000,500,200,3600000,10,8,0.135139,0.050617,0.084235,2.279046,0.284881
NX500_NY200_P3600000,500,200,3600000,10,16,0.149421,0.055576,0.091370,2.061209,0.128826
NX500_NY200_P20000000,500,200,20000000,10,1,1.697708,0.806633,0.890336,1.000000,1.000000
NX500_NY200_P20000000,500,200,20000000,10,2,0.935007,0.423155,0.511376,1.815717,0.907858
NX500_NY200_P20000000,500,200,20000000,10,4,0.723913,0.254458,0.469130,2.345181,0.586295
NX500_NY200_P20000000,500,200,20000000,10,8,0.748683,0.266614,0.481762,2.267591,0.283449
NX500_NY200_P20000000,500,200,20000000,10,16,0.737723,0.236224,0.498639,2.301281,0.143830
NX1000_NY400_P14000000,1000,400,14000000,10,1,1.781665,1.042815,0.734842,1.000000,1.000000
NX1000_NY400_P14000000,1000,400,14000000,10,2,0.958014,0.537489,0.417863,1.859749,0.929874
NX1000_NY400_P14000000,1000,400,14000000,10,4,0.682414,0.324393,0.356378,2.610826,0.652707
NX1000_NY400_P14000000,1000,400,14000000,10,8,1.036202,0.643965,0.390408,1.719419,0.214927
NX1000_NY400_P14000000,1000,400,14000000,10,16,1.996285,1.603414,0.387586,0.892490,0.055781
