config,NX,NY,NUM_Points,Maxiter,mpi_ranks,omp_threads,total_cores,time_serial,time_parallel,speedup,efficiency
A,250,100,900000,10,2,1,2,0.250662,0.130248,1.9245,0.9622
A,250,100,900000,10,4,1,4,0.250662,0.088467,2.8334,0.7083
A,250,100,900000,10,4,2,8,0.250662,0.087136,2.8767,0.3596
A,250,100,900000,10,4,4,16,0.250662,0.070582,3.5514,0.2220
A,250,100,900000,10,4,8,32,0.250662,0.095791,2.6168,0.0818
A,250,100,900000,10,4,16,64,0.250662,0.102257,2.4513,0.0383
B,250,100,5000000,10,2,1,2,1.383207,0.710418,1.9470,0.9735
B,250,100,5000000,10,4,1,4,1.383207,0.450211,3.0724,0.7681
B,250,100,5000000,10,4,2,8,1.383207,0.450778,3.0685,0.3836
B,250,100,5000000,10,4,4,16,1.383207,0.441640,3.1320,0.1957
B,250,100,5000000,10,4,8,32,1.383207,0.386461,3.5792,0.1118
B,250,100,5000000,10,4,16,64,1.383207,0.425079,3.2540,0.0508
C,500,200,3600000,10,2,1,2,1.244330,0.644434,1.9309,0.9654
C,500,200,3600000,10,4,1,4,1.244330,0.389364,3.1958,0.7990
C,500,200,3600000,10,4,2,8,1.244330,0.363282,3.4252,0.4282
C,500,200,3600000,10,4,4,16,1.244330,0.398196,3.1249,0.1953
C,500,200,3600000,10,4,8,32,1.244330,0.413155,3.0118,0.0941
C,500,200,3600000,10,4,16,64,1.244330,0.439765,2.8295,0.0442
D,500,200,20000000,10,2,1,2,6.881677,3.523669,1.9530,0.9765
D,500,200,20000000,10,4,1,4,6.881677,1.788355,3.8480,0.9620
D,500,200,20000000,10,4,2,8,6.881677,1.824030,3.7728,0.4716
D,500,200,20000000,10,4,4,16,6.881677,1.814247,3.7931,0.2371
D,500,200,20000000,10,4,8,32,6.881677,1.837463,3.7452,0.1170
D,500,200,20000000,10,4,16,64,6.881677,1.857724,3.7044,0.0579
E,1000,400,14000000,10,2,1,2,4.844256,2.558992,1.8930,0.9465
E,1000,400,14000000,10,4,1,4,4.844256,1.298390,3.7310,0.9327
E,1000,400,14000000,10,4,2,8,4.844256,1.335742,3.6266,0.4533
E,1000,400,14000000,10,4,4,16,4.844256,1.385811,3.4956,0.2185
E,1000,400,14000000,10,4,8,32,4.844256,1.475454,3.2832,0.1026
E,1000,400,14000000,10,4,16,64,4.844256,1.611866,3.0054,0.0470
